day,segment,co_level_offline_ppm,position_split,day_split,split
20161001_231809,1,15.56,train,train,train
20161001_231809,2,20.0,test,train,excluded_cross_cell
20161001_231809,3,4.44,train,train,train
20161001_231809,4,15.56,test,train,excluded_cross_cell
20161001_231809,5,6.67,train,train,train
20161001_231809,6,2.22,train,train,train
20161001_231809,7,11.11,train,train,train
20161001_231809,8,2.22,train,train,train
20161001_231809,9,13.33,validation,train,excluded_cross_cell
20161001_231809,10,4.44,train,train,train
20161001_231809,11,6.67,test,train,excluded_cross_cell
20161001_231809,12,0.0,validation,train,excluded_cross_cell
20161001_231809,13,15.56,train,train,train
20161001_231809,14,8.89,train,train,train
20161001_231809,15,15.56,train,train,train
20161001_231809,16,13.33,train,train,train
20161001_231809,17,15.56,train,train,train
20161001_231809,18,8.89,validation,train,excluded_cross_cell
20161001_231809,19,11.11,train,train,train
20161001_231809,20,0.0,train,train,train
20161001_231809,21,15.56,validation,train,excluded_cross_cell
20161001_231809,22,17.78,train,train,train
20161001_231809,23,11.11,train,train,train
20161001_231809,24,0.0,train,train,train
20161001_231809,25,11.11,validation,train,excluded_cross_cell
20161001_231809,26,13.33,train,train,train
20161001_231809,27,15.56,train,train,train
20161001_231809,28,17.78,train,train,train
20161001_231809,29,2.22,validation,train,excluded_cross_cell
20161001_231809,30,2.22,train,train,train
20161001_231809,31,8.89,test,train,excluded_cross_cell
20161001_231809,32,8.89,test,train,excluded_cross_cell
20161001_231809,33,0.0,train,train,train
20161001_231809,34,17.78,train,train,train
20161001_231809,35,4.44,train,train,train
20161001_231809,36,11.11,train,train,train
20161001_231809,37,11.11,train,train,train
20161001_231809,38,17.78,test,train,excluded_cross_cell
20161001_231809,39,4.44,validation,train,excluded_cross_cell
20161001_231809,40,13.33,test,train,excluded_cross_cell
20161001_231809,41,17.78,train,train,train
20161001_231809,42,11.11,test,train,excluded_cross_cell
20161001_231809,43,2.22,validation,train,excluded_cross_cell
20161001_231809,44,13.33,validation,train,excluded_cross_cell
20161001_231809,45,2.22,train,train,train
20161001_231809,46,15.56,test,train,excluded_cross_cell
20161001_231809,47,11.11,test,train,excluded_cross_cell
20161001_231809,48,20.0,train,train,train
20161001_231809,49,20.0,train,train,train
20161001_231809,50,2.22,test,train,excluded_cross_cell
20161001_231809,51,20.0,validation,train,excluded_cross_cell
20161001_231809,52,6.67,train,train,train
20161001_231809,53,17.78,validation,train,excluded_cross_cell
20161001_231809,54,17.78,test,train,excluded_cross_cell
20161001_231809,55,0.0,train,train,train
20161001_231809,56,13.33,test,train,excluded_cross_cell
20161001_231809,57,6.67,test,train,excluded_cross_cell
20161001_231809,58,20.0,train,train,train
20161001_231809,59,0.0,train,train,train
20161001_231809,60,8.89,train,train,train
20161001_231809,61,4.44,train,train,train
20161001_231809,62,13.33,train,train,train
20161001_231809,63,2.22,train,train,train
20161001_231809,64,20.0,validation,train,excluded_cross_cell
20161001_231809,65,6.67,train,train,train
20161001_231809,66,15.56,validation,train,excluded_cross_cell
20161001_231809,67,4.44,validation,train,excluded_cross_cell
20161001_231809,68,0.0,train,train,train
20161001_231809,69,8.89,train,train,train
20161001_231809,70,6.67,train,train,train
20161001_231809,71,6.67,validation,train,excluded_cross_cell
20161001_231809,72,4.44,test,train,excluded_cross_cell
20161001_231809,73,8.89,train,train,train
20161001_231809,74,0.0,test,train,excluded_cross_cell
20161001_231809,75,4.44,train,train,train
20161001_231809,76,8.89,train,train,train
20161001_231809,77,11.11,validation,train,excluded_cross_cell
20161001_231809,78,6.67,train,train,train
20161001_231809,79,4.44,train,train,train
20161001_231809,80,11.11,train,train,train
20161001_231809,81,6.67,train,train,train
20161001_231809,82,8.89,train,train,train
20161001_231809,83,13.33,train,train,train
20161001_231809,84,13.33,train,train,train
20161001_231809,85,15.56,train,train,train
20161001_231809,86,8.89,validation,train,excluded_cross_cell
20161001_231809,87,6.67,validation,train,excluded_cross_cell
20161001_231809,88,2.22,test,train,excluded_cross_cell
20161001_231809,89,0.0,test,train,excluded_cross_cell
20161001_231809,90,4.44,test,train,excluded_cross_cell
20161001_231809,91,0.0,validation,train,excluded_cross_cell
20161001_231809,92,20.0,train,train,train
20161001_231809,93,20.0,train,train,train
20161001_231809,94,20.0,test,train,excluded_cross_cell
20161001_231809,95,17.78,train,train,train
20161001_231809,96,17.78,train,train,train
20161001_231809,97,13.33,train,train,train
20161001_231809,98,17.78,validation,train,excluded_cross_cell
20161001_231809,99,2.22,train,train,train
20161003_085624,0,20.0,train,train,train
20161003_085624,1,15.56,train,train,train
20161003_085624,2,20.0,test,train,excluded_cross_cell
20161003_085624,3,4.44,train,train,train
20161003_085624,4,15.56,test,train,excluded_cross_cell
20161003_085624,5,6.67,train,train,train
20161003_085624,6,2.22,train,train,train
20161003_085624,7,11.11,train,train,train
20161003_085624,8,2.22,train,train,train
20161003_085624,9,13.33,validation,train,excluded_cross_cell
20161003_085624,10,4.44,train,train,train
20161003_085624,11,6.67,test,train,excluded_cross_cell
20161003_085624,12,0.0,validation,train,excluded_cross_cell
20161003_085624,13,15.56,train,train,train
20161003_085624,14,8.89,train,train,train
20161003_085624,15,15.56,train,train,train
20161003_085624,16,13.33,train,train,train
20161003_085624,17,15.56,train,train,train
20161003_085624,18,8.89,validation,train,excluded_cross_cell
20161003_085624,19,11.11,train,train,train
20161003_085624,20,0.0,train,train,train
20161003_085624,21,15.56,validation,train,excluded_cross_cell
20161003_085624,22,17.78,train,train,train
20161003_085624,23,11.11,train,train,train
20161003_085624,24,0.0,train,train,train
20161003_085624,25,11.11,validation,train,excluded_cross_cell
20161003_085624,26,13.33,train,train,train
20161003_085624,27,15.56,train,train,train
20161003_085624,28,17.78,train,train,train
20161003_085624,29,2.22,validation,train,excluded_cross_cell
20161003_085624,30,2.22,train,train,train
20161003_085624,31,8.89,test,train,excluded_cross_cell
20161003_085624,32,8.89,test,train,excluded_cross_cell
20161003_085624,33,0.0,train,train,train
20161003_085624,34,17.78,train,train,train
20161003_085624,35,4.44,train,train,train
20161003_085624,36,11.11,train,train,train
20161003_085624,37,11.11,train,train,train
20161003_085624,38,17.78,test,train,excluded_cross_cell
20161003_085624,39,4.44,validation,train,excluded_cross_cell
20161003_085624,40,13.33,test,train,excluded_cross_cell
20161003_085624,41,17.78,train,train,train
20161003_085624,42,11.11,test,train,excluded_cross_cell
20161003_085624,43,2.22,validation,train,excluded_cross_cell
20161003_085624,44,13.33,validation,train,excluded_cross_cell
20161003_085624,45,2.22,train,train,train
20161003_085624,46,15.56,test,train,excluded_cross_cell
20161003_085624,47,11.11,test,train,excluded_cross_cell
20161003_085624,48,20.0,train,train,train
20161003_085624,49,20.0,train,train,train
20161003_085624,50,2.22,test,train,excluded_cross_cell
20161003_085624,51,20.0,validation,train,excluded_cross_cell
20161003_085624,52,6.67,train,train,train
20161003_085624,53,17.78,validation,train,excluded_cross_cell
20161003_085624,54,17.78,test,train,excluded_cross_cell
20161003_085624,55,0.0,train,train,train
20161003_085624,56,13.33,test,train,excluded_cross_cell
20161003_085624,57,6.67,test,train,excluded_cross_cell
20161003_085624,58,20.0,train,train,train
20161003_085624,59,0.0,train,train,train
20161003_085624,60,8.89,train,train,train
20161003_085624,61,4.44,train,train,train
20161003_085624,62,13.33,train,train,train
20161003_085624,63,2.22,train,train,train
20161003_085624,64,20.0,validation,train,excluded_cross_cell
20161003_085624,65,6.67,train,train,train
20161003_085624,66,15.56,validation,train,excluded_cross_cell
20161003_085624,67,4.44,validation,train,excluded_cross_cell
20161003_085624,68,0.0,train,train,train
20161003_085624,69,8.89,train,train,train
20161003_085624,70,6.67,train,train,train
20161003_085624,71,6.67,validation,train,excluded_cross_cell
20161003_085624,72,4.44,test,train,excluded_cross_cell
20161003_085624,73,8.89,train,train,train
20161003_085624,74,0.0,test,train,excluded_cross_cell
20161003_085624,75,4.44,train,train,train
20161003_085624,76,8.89,train,train,train
20161003_085624,77,11.11,validation,train,excluded_cross_cell
20161003_085624,78,6.67,train,train,train
20161003_085624,79,4.44,train,train,train
20161003_085624,80,11.11,train,train,train
20161003_085624,81,6.67,train,train,train
20161003_085624,82,8.89,train,train,train
20161003_085624,83,13.33,train,train,train
20161003_085624,84,13.33,train,train,train
20161003_085624,85,15.56,train,train,train
20161003_085624,86,8.89,validation,train,excluded_cross_cell
20161003_085624,87,6.67,validation,train,excluded_cross_cell
20161003_085624,88,2.22,test,train,excluded_cross_cell
20161003_085624,89,0.0,test,train,excluded_cross_cell
20161003_085624,90,4.44,test,train,excluded_cross_cell
20161003_085624,91,0.0,validation,train,excluded_cross_cell
20161003_085624,92,20.0,train,train,train
20161003_085624,93,20.0,train,train,train
20161003_085624,94,20.0,test,train,excluded_cross_cell
20161003_085624,95,17.78,train,train,train
20161003_085624,96,17.78,train,train,train
20161003_085624,97,13.33,train,train,train
20161003_085624,98,17.78,validation,train,excluded_cross_cell
20161003_085624,99,2.22,train,train,train
20161004_104124,0,20.0,train,train,train
20161004_104124,1,15.56,train,train,train
20161004_104124,2,20.0,test,train,excluded_cross_cell
20161004_104124,3,4.44,train,train,train
20161004_104124,4,15.56,test,train,excluded_cross_cell
20161004_104124,5,6.67,train,train,train
20161004_104124,6,2.22,train,train,train
20161004_104124,7,11.11,train,train,train
20161004_104124,8,2.22,train,train,train
20161004_104124,9,13.33,validation,train,excluded_cross_cell
20161004_104124,10,4.44,train,train,train
20161004_104124,11,6.67,test,train,excluded_cross_cell
20161004_104124,12,0.0,validation,train,excluded_cross_cell
20161004_104124,13,15.56,train,train,train
20161004_104124,14,8.89,train,train,train
20161004_104124,15,15.56,train,train,train
20161004_104124,16,13.33,train,train,train
20161004_104124,17,15.56,train,train,train
20161004_104124,18,8.89,validation,train,excluded_cross_cell
20161004_104124,19,11.11,train,train,train
20161004_104124,20,0.0,train,train,train
20161004_104124,21,15.56,validation,train,excluded_cross_cell
20161004_104124,22,17.78,train,train,train
20161004_104124,23,11.11,train,train,train
20161004_104124,24,0.0,train,train,train
20161004_104124,25,11.11,validation,train,excluded_cross_cell
20161004_104124,26,13.33,train,train,train
20161004_104124,27,15.56,train,train,train
20161004_104124,28,17.78,train,train,train
20161004_104124,29,2.22,validation,train,excluded_cross_cell
20161004_104124,30,2.22,train,train,train
20161004_104124,31,8.89,test,train,excluded_cross_cell
20161004_104124,32,8.89,test,train,excluded_cross_cell
20161004_104124,33,0.0,train,train,train
20161004_104124,34,17.78,train,train,train
20161004_104124,35,4.44,train,train,train
20161004_104124,36,11.11,train,train,train
20161004_104124,37,11.11,train,train,train
20161004_104124,38,17.78,test,train,excluded_cross_cell
20161004_104124,39,4.44,validation,train,excluded_cross_cell
20161004_104124,40,13.33,test,train,excluded_cross_cell
20161004_104124,41,17.78,train,train,train
20161004_104124,42,11.11,test,train,excluded_cross_cell
20161004_104124,43,2.22,validation,train,excluded_cross_cell
20161004_104124,44,13.33,validation,train,excluded_cross_cell
20161004_104124,45,2.22,train,train,train
20161004_104124,46,15.56,test,train,excluded_cross_cell
20161004_104124,47,11.11,test,train,excluded_cross_cell
20161004_104124,48,20.0,train,train,train
20161004_104124,49,20.0,train,train,train
20161004_104124,50,2.22,test,train,excluded_cross_cell
20161004_104124,51,20.0,validation,train,excluded_cross_cell
20161004_104124,52,6.67,train,train,train
20161004_104124,53,17.78,validation,train,excluded_cross_cell
20161004_104124,54,17.78,test,train,excluded_cross_cell
20161004_104124,55,0.0,train,train,train
20161004_104124,56,13.33,test,train,excluded_cross_cell
20161004_104124,57,6.67,test,train,excluded_cross_cell
20161004_104124,58,20.0,train,train,train
20161004_104124,59,0.0,train,train,train
20161004_104124,60,8.89,train,train,train
20161004_104124,61,4.44,train,train,train
20161004_104124,62,13.33,train,train,train
20161004_104124,63,2.22,train,train,train
20161004_104124,64,20.0,validation,train,excluded_cross_cell
20161004_104124,65,6.67,train,train,train
20161004_104124,66,15.56,validation,train,excluded_cross_cell
20161004_104124,67,4.44,validation,train,excluded_cross_cell
20161004_104124,68,0.0,train,train,train
20161004_104124,69,8.89,train,train,train
20161004_104124,70,6.67,train,train,train
20161004_104124,71,6.67,validation,train,excluded_cross_cell
20161004_104124,72,4.44,test,train,excluded_cross_cell
20161004_104124,73,8.89,train,train,train
20161004_104124,74,0.0,test,train,excluded_cross_cell
20161004_104124,75,4.44,train,train,train
20161004_104124,76,8.89,train,train,train
20161004_104124,77,11.11,validation,train,excluded_cross_cell
20161004_104124,78,6.67,train,train,train
20161004_104124,79,4.44,train,train,train
20161004_104124,80,11.11,train,train,train
20161004_104124,81,6.67,train,train,train
20161004_104124,82,8.89,train,train,train
20161004_104124,83,13.33,train,train,train
20161004_104124,84,13.33,train,train,train
20161004_104124,85,15.56,train,train,train
20161004_104124,86,8.89,validation,train,excluded_cross_cell
20161004_104124,87,6.67,validation,train,excluded_cross_cell
20161004_104124,88,2.22,test,train,excluded_cross_cell
20161004_104124,89,0.0,test,train,excluded_cross_cell
20161004_104124,90,4.44,test,train,excluded_cross_cell
20161004_104124,91,0.0,validation,train,excluded_cross_cell
20161004_104124,92,20.0,train,train,train
20161004_104124,93,20.0,train,train,train
20161004_104124,94,20.0,test,train,excluded_cross_cell
20161004_104124,95,17.78,train,train,train
20161004_104124,96,17.78,train,train,train
20161004_104124,97,13.33,train,train,train
20161004_104124,98,17.78,validation,train,excluded_cross_cell
20161004_104124,99,2.22,train,train,train
20161005_140846,0,20.0,train,train,train
20161005_140846,1,15.56,train,train,train
20161005_140846,2,20.0,test,train,excluded_cross_cell
20161005_140846,3,4.44,train,train,train
20161005_140846,4,15.56,test,train,excluded_cross_cell
20161005_140846,5,6.67,train,train,train
20161005_140846,6,2.22,train,train,train
20161005_140846,7,11.11,train,train,train
20161005_140846,8,2.22,train,train,train
20161005_140846,9,13.33,validation,train,excluded_cross_cell
20161005_140846,10,4.44,train,train,train
20161005_140846,11,6.67,test,train,excluded_cross_cell
20161005_140846,12,0.0,validation,train,excluded_cross_cell
20161005_140846,13,15.56,train,train,train
20161005_140846,14,8.89,train,train,train
20161005_140846,15,15.56,train,train,train
20161005_140846,16,13.33,train,train,train
20161005_140846,17,15.56,train,train,train
20161005_140846,18,8.89,validation,train,excluded_cross_cell
20161005_140846,19,11.11,train,train,train
20161005_140846,20,0.0,train,train,train
20161005_140846,21,15.56,validation,train,excluded_cross_cell
20161005_140846,22,17.78,train,train,train
20161005_140846,23,11.11,train,train,train
20161005_140846,24,0.0,train,train,train
20161005_140846,25,11.11,validation,train,excluded_cross_cell
20161005_140846,26,13.33,train,train,train
20161005_140846,27,15.56,train,train,train
20161005_140846,28,17.78,train,train,train
20161005_140846,29,2.22,validation,train,excluded_cross_cell
20161005_140846,30,2.22,train,train,train
20161005_140846,31,8.89,test,train,excluded_cross_cell
20161005_140846,32,8.89,test,train,excluded_cross_cell
20161005_140846,33,0.0,train,train,train
20161005_140846,34,17.78,train,train,train
20161005_140846,35,4.44,train,train,train
20161005_140846,36,11.11,train,train,train
20161005_140846,37,11.11,train,train,train
20161005_140846,38,17.78,test,train,excluded_cross_cell
20161005_140846,39,4.44,validation,train,excluded_cross_cell
20161005_140846,40,13.33,test,train,excluded_cross_cell
20161005_140846,41,17.78,train,train,train
20161005_140846,42,11.11,test,train,excluded_cross_cell
20161005_140846,43,2.22,validation,train,excluded_cross_cell
20161005_140846,44,13.33,validation,train,excluded_cross_cell
20161005_140846,45,2.22,train,train,train
20161005_140846,46,15.56,test,train,excluded_cross_cell
20161005_140846,47,11.11,test,train,excluded_cross_cell
20161005_140846,48,20.0,train,train,train
20161005_140846,49,20.0,train,train,train
20161005_140846,50,2.22,test,train,excluded_cross_cell
20161005_140846,51,20.0,validation,train,excluded_cross_cell
20161005_140846,52,6.67,train,train,train
20161005_140846,53,17.78,validation,train,excluded_cross_cell
20161005_140846,54,17.78,test,train,excluded_cross_cell
20161005_140846,55,0.0,train,train,train
20161005_140846,56,13.33,test,train,excluded_cross_cell
20161005_140846,57,6.67,test,train,excluded_cross_cell
20161005_140846,58,20.0,train,train,train
20161005_140846,59,0.0,train,train,train
20161005_140846,60,8.89,train,train,train
20161005_140846,61,4.44,train,train,train
20161005_140846,62,13.33,train,train,train
20161005_140846,63,2.22,train,train,train
20161005_140846,64,20.0,validation,train,excluded_cross_cell
20161005_140846,65,6.67,train,train,train
20161005_140846,66,15.56,validation,train,excluded_cross_cell
20161005_140846,67,4.44,validation,train,excluded_cross_cell
20161005_140846,68,0.0,train,train,train
20161005_140846,69,8.89,train,train,train
20161005_140846,70,6.67,train,train,train
20161005_140846,71,6.67,validation,train,excluded_cross_cell
20161005_140846,72,4.44,test,train,excluded_cross_cell
20161005_140846,73,8.89,train,train,train
20161005_140846,74,0.0,test,train,excluded_cross_cell
20161005_140846,75,4.44,train,train,train
20161005_140846,76,8.89,train,train,train
20161005_140846,77,11.11,validation,train,excluded_cross_cell
20161005_140846,78,6.67,train,train,train
20161005_140846,79,4.44,train,train,train
20161005_140846,80,11.11,train,train,train
20161005_140846,81,6.67,train,train,train
20161005_140846,82,8.89,train,train,train
20161005_140846,83,13.33,train,train,train
20161005_140846,84,13.33,train,train,train
20161005_140846,85,15.56,train,train,train
20161005_140846,86,8.89,validation,train,excluded_cross_cell
20161005_140846,87,6.67,validation,train,excluded_cross_cell
20161005_140846,88,2.22,test,train,excluded_cross_cell
20161005_140846,89,0.0,test,train,excluded_cross_cell
20161005_140846,90,4.44,test,train,excluded_cross_cell
20161005_140846,91,0.0,validation,train,excluded_cross_cell
20161005_140846,92,20.0,train,train,train
20161005_140846,93,20.0,train,train,train
20161005_140846,94,20.0,test,train,excluded_cross_cell
20161005_140846,95,17.78,train,train,train
20161005_140846,96,17.78,train,train,train
20161005_140846,97,13.33,train,train,train
20161005_140846,98,17.78,validation,train,excluded_cross_cell
20161005_140846,99,2.22,train,train,train
20161006_182224,0,20.0,train,train,train
20161006_182224,1,15.56,train,train,train
20161006_182224,2,20.0,test,train,excluded_cross_cell
20161006_182224,3,4.44,train,train,train
20161006_182224,4,15.56,test,train,excluded_cross_cell
20161006_182224,5,6.67,train,train,train
20161006_182224,6,2.22,train,train,train
20161006_182224,7,11.11,train,train,train
20161006_182224,8,2.22,train,train,train
20161006_182224,9,13.33,validation,train,excluded_cross_cell
20161006_182224,10,4.44,train,train,train
20161006_182224,11,6.67,test,train,excluded_cross_cell
20161006_182224,12,0.0,validation,train,excluded_cross_cell
20161006_182224,13,15.56,train,train,train
20161006_182224,14,8.89,train,train,train
20161006_182224,15,15.56,train,train,train
20161006_182224,16,13.33,train,train,train
20161006_182224,17,15.56,train,train,train
20161006_182224,18,8.89,validation,train,excluded_cross_cell
20161006_182224,19,11.11,train,train,train
20161006_182224,20,0.0,train,train,train
20161006_182224,21,15.56,validation,train,excluded_cross_cell
20161006_182224,22,17.78,train,train,train
20161006_182224,23,11.11,train,train,train
20161006_182224,24,0.0,train,train,train
20161006_182224,25,11.11,validation,train,excluded_cross_cell
20161006_182224,26,13.33,train,train,train
20161006_182224,27,15.56,train,train,train
20161006_182224,28,17.78,train,train,train
20161006_182224,29,2.22,validation,train,excluded_cross_cell
20161006_182224,30,2.22,train,train,train
20161006_182224,31,8.89,test,train,excluded_cross_cell
20161006_182224,32,8.89,test,train,excluded_cross_cell
20161006_182224,33,0.0,train,train,train
20161006_182224,34,17.78,train,train,train
20161006_182224,35,4.44,train,train,train
20161006_182224,36,11.11,train,train,train
20161006_182224,37,11.11,train,train,train
20161006_182224,38,17.78,test,train,excluded_cross_cell
20161006_182224,39,4.44,validation,train,excluded_cross_cell
20161006_182224,40,13.33,test,train,excluded_cross_cell
20161006_182224,41,17.78,train,train,train
20161006_182224,42,11.11,test,train,excluded_cross_cell
20161006_182224,43,2.22,validation,train,excluded_cross_cell
20161006_182224,44,13.33,validation,train,excluded_cross_cell
20161006_182224,45,2.22,train,train,train
20161006_182224,46,15.56,test,train,excluded_cross_cell
20161006_182224,47,11.11,test,train,excluded_cross_cell
20161006_182224,48,20.0,train,train,train
20161006_182224,49,20.0,train,train,train
20161006_182224,50,2.22,test,train,excluded_cross_cell
20161006_182224,51,20.0,validation,train,excluded_cross_cell
20161006_182224,52,6.67,train,train,train
20161006_182224,53,17.78,validation,train,excluded_cross_cell
20161006_182224,54,17.78,test,train,excluded_cross_cell
20161006_182224,55,0.0,train,train,train
20161006_182224,56,13.33,test,train,excluded_cross_cell
20161006_182224,57,6.67,test,train,excluded_cross_cell
20161006_182224,58,20.0,train,train,train
20161006_182224,59,0.0,train,train,train
20161006_182224,60,8.89,train,train,train
20161006_182224,61,4.44,train,train,train
20161006_182224,62,13.33,train,train,train
20161006_182224,63,2.22,train,train,train
20161006_182224,64,20.0,validation,train,excluded_cross_cell
20161006_182224,65,6.67,train,train,train
20161006_182224,66,15.56,validation,train,excluded_cross_cell
20161006_182224,67,4.44,validation,train,excluded_cross_cell
20161006_182224,68,0.0,train,train,train
20161006_182224,69,8.89,train,train,train
20161006_182224,70,6.67,train,train,train
20161006_182224,71,6.67,validation,train,excluded_cross_cell
20161006_182224,72,4.44,test,train,excluded_cross_cell
20161006_182224,73,8.89,train,train,train
20161006_182224,74,0.0,test,train,excluded_cross_cell
20161006_182224,75,4.44,train,train,train
20161006_182224,76,8.89,train,train,train
20161006_182224,77,11.11,validation,train,excluded_cross_cell
20161006_182224,78,6.67,train,train,train
20161006_182224,79,4.44,train,train,train
20161006_182224,80,11.11,train,train,train
20161006_182224,81,6.67,train,train,train
20161006_182224,82,8.89,train,train,train
20161006_182224,83,13.33,train,train,train
20161006_182224,84,13.33,train,train,train
20161006_182224,85,15.56,train,train,train
20161006_182224,86,8.89,validation,train,excluded_cross_cell
20161006_182224,87,6.67,validation,train,excluded_cross_cell
20161006_182224,88,2.22,test,train,excluded_cross_cell
20161006_182224,89,0.0,test,train,excluded_cross_cell
20161006_182224,90,4.44,test,train,excluded_cross_cell
20161006_182224,91,0.0,validation,train,excluded_cross_cell
20161006_182224,92,20.0,train,train,train
20161006_182224,93,20.0,train,train,train
20161006_182224,94,20.0,test,train,excluded_cross_cell
20161006_182224,95,17.78,train,train,train
20161006_182224,96,17.78,train,train,train
20161006_182224,97,13.33,train,train,train
20161006_182224,98,17.78,validation,train,excluded_cross_cell
20161006_182224,99,2.22,train,train,train
20161007_210049,0,20.0,train,train,train
20161007_210049,1,15.56,train,train,train
20161007_210049,2,20.0,test,train,excluded_cross_cell
20161007_210049,3,4.44,train,train,train
20161007_210049,4,15.56,test,train,excluded_cross_cell
20161007_210049,5,6.67,train,train,train
20161007_210049,6,2.22,train,train,train
20161007_210049,7,11.11,train,train,train
20161007_210049,8,2.22,train,train,train
20161007_210049,9,13.33,validation,train,excluded_cross_cell
20161007_210049,10,4.44,train,train,train
20161007_210049,11,6.67,test,train,excluded_cross_cell
20161007_210049,12,0.0,validation,train,excluded_cross_cell
20161007_210049,13,15.56,train,train,train
20161007_210049,14,8.89,train,train,train
20161007_210049,15,15.56,train,train,train
20161007_210049,16,13.33,train,train,train
20161007_210049,17,15.56,train,train,train
20161007_210049,18,8.89,validation,train,excluded_cross_cell
20161007_210049,19,11.11,train,train,train
20161007_210049,20,0.0,train,train,train
20161007_210049,21,15.56,validation,train,excluded_cross_cell
20161007_210049,22,17.78,train,train,train
