id,date,split,class,method,completed_s,origin_bin_s,score_at_trigger,scope
2,07-06-15,validation,wine,median_8,2081,2078,29.479898931329025,other
2,07-06-15,validation,wine,median_8,2130,2127,22.99266730801272,other
2,07-06-15,validation,wine,median_8,2227,2224,28.310713506264896,other
2,07-06-15,validation,wine,median_8,2362,2359,25.908285549027276,other
2,07-06-15,validation,wine,median_8,2540,2537,22.108333653134576,other
2,07-06-15,validation,wine,median_8,2574,2571,22.16324112451616,other
2,07-06-15,validation,wine,median_8,2679,2676,22.775939790598912,other
2,07-06-15,validation,wine,median_8,2683,2680,23.363389222100942,other
2,07-06-15,validation,wine,R1,523,520,23.653982369772248,other
2,07-06-15,validation,wine,R1,545,542,24.54379409008494,other
2,07-06-15,validation,wine,R1,594,591,27.067866099033832,other
2,07-06-15,validation,wine,R1,646,643,40.28121892307157,other
2,07-06-15,validation,wine,R1,772,769,38.226781712857075,other
2,07-06-15,validation,wine,R1,894,891,37.008827729326114,other
2,07-06-15,validation,wine,R1,898,895,36.841602762072235,other
2,07-06-15,validation,wine,R1,1019,1016,29.494455915327226,other
2,07-06-15,validation,wine,R1,1227,1224,23.853820864716003,other
2,07-06-15,validation,wine,R1,1302,1299,23.87919490603956,other
2,07-06-15,validation,wine,R1,1477,1474,23.651616993038697,other
2,07-06-15,validation,wine,R1,1525,1522,24.80549077051525,other
2,07-06-15,validation,wine,R1,2052,2049,24.627370734670464,other
2,07-06-15,validation,wine,R1,2081,2078,30.237829312408184,other
2,07-06-15,validation,wine,R1,2161,2158,23.315518462625747,other
2,07-06-15,validation,wine,R1,2191,2188,23.242263461968466,other
2,07-06-15,validation,wine,R1,2227,2224,25.488726256097703,other
2,07-06-15,validation,wine,R1,2362,2359,24.819037928171046,other
8,07-12-15,validation,wine,median_8,351,348,24.33932983896664,other
8,07-12-15,validation,wine,median_8,516,513,31.88121057854919,other
8,07-12-15,validation,wine,median_8,667,664,31.399380536853243,other
8,07-12-15,validation,wine,median_8,798,795,29.667881044059907,other
8,07-12-15,validation,wine,median_8,929,926,28.77442324262592,other
8,07-12-15,validation,wine,median_8,957,954,27.541933030483797,other
8,07-12-15,validation,wine,median_8,1015,1012,28.19722618126226,other
8,07-12-15,validation,wine,median_8,1141,1138,27.28293971862181,other
8,07-12-15,validation,wine,median_8,1272,1269,27.62511194428058,other
8,07-12-15,validation,wine,median_8,1407,1404,28.482458398004354,other
8,07-12-15,validation,wine,median_8,1544,1541,29.052274928214217,other
8,07-12-15,validation,wine,median_8,1685,1682,30.856249451874998,other
8,07-12-15,validation,wine,median_8,1867,1864,28.37080629685056,other
8,07-12-15,validation,wine,median_8,2038,2035,29.182252461617423,other
8,07-12-15,validation,wine,median_8,2202,2199,26.808648138292888,other
8,07-12-15,validation,wine,median_8,2301,2298,22.23290037157542,other
8,07-12-15,validation,wine,median_8,2309,2306,22.720334380631563,other
8,07-12-15,validation,wine,median_8,2471,2468,23.57975285401855,other
8,07-12-15,validation,wine,median_8,2627,2624,25.77844041240679,other
8,07-12-15,validation,wine,median_8,2778,2775,25.735820457536278,other
8,07-12-15,validation,wine,median_8,2925,2922,22.558293998737508,other
8,07-12-15,validation,wine,median_8,3025,3022,23.392584509301344,other
8,07-12-15,validation,wine,median_8,3054,3051,22.358481890472245,other
8,07-12-15,validation,wine,median_8,3161,3158,22.67902147206516,other
8,07-12-15,validation,wine,median_8,3166,3163,23.586475966701173,other
8,07-12-15,validation,wine,median_8,3288,3285,22.231924124065102,other
8,07-12-15,validation,wine,median_8,3302,3299,23.076391203444096,other
8,07-12-15,validation,wine,median_8,3373,3370,22.254871477318414,other
8,07-12-15,validation,wine,median_8,3423,3420,26.007972886047146,other
8,07-12-15,validation,wine,median_8,3537,3534,22.548303710847314,other
8,07-12-15,validation,wine,median_8,3544,3541,23.267708151302894,other
8,07-12-15,validation,wine,median_8,3710,3707,23.02665504334886,other
8,07-12-15,validation,wine,median_8,3811,3808,22.339403677061984,other
8,07-12-15,validation,wine,median_8,3937,3934,29.04335034188979,other
8,07-12-15,validation,wine,median_8,4068,4065,28.03015898412741,other
8,07-12-15,validation,wine,median_8,4239,4236,25.970631892958668,other
8,07-12-15,validation,wine,median_8,4386,4383,25.389621748677435,other
8,07-12-15,validation,wine,median_8,4512,4509,23.252015859707576,other
8,07-12-15,validation,wine,median_8,4610,4607,22.14346793404502,other
8,07-12-15,validation,wine,median_8,4643,4640,22.98440986859323,other
8,07-12-15,validation,wine,R1,350,347,30.210161572433908,other
8,07-12-15,validation,wine,R1,516,513,41.05197334779546,other
8,07-12-15,validation,wine,R1,667,664,39.962251454456165,other
8,07-12-15,validation,wine,R1,798,795,41.852904245392864,other
8,07-12-15,validation,wine,R1,929,926,32.202525562913344,other
8,07-12-15,validation,wine,R1,957,954,33.09398587913125,other
8,07-12-15,validation,wine,R1,1015,1012,38.814183601689244,other
8,07-12-15,validation,wine,R1,1141,1138,36.108909399333676,other
8,07-12-15,validation,wine,R1,1272,1269,34.50367873424563,other
8,07-12-15,validation,wine,R1,1407,1404,35.864272102618095,other
8,07-12-15,validation,wine,R1,1544,1541,45.09683924025285,other
8,07-12-15,validation,wine,R1,1685,1682,44.84345721743141,other
8,07-12-15,validation,wine,R1,1867,1864,44.27505002055049,other
8,07-12-15,validation,wine,R1,2038,2035,42.7311041162863,other
8,07-12-15,validation,wine,R1,2202,2199,31.316512780990898,other
8,07-12-15,validation,wine,R1,2309,2306,28.11092556044759,other
8,07-12-15,validation,wine,R1,2471,2468,33.58576920546164,other
8,07-12-15,validation,wine,R1,2627,2624,35.32095223472939,other
8,07-12-15,validation,wine,R1,2778,2775,36.16632354368445,other
8,07-12-15,validation,wine,R1,2915,2912,24.568809740994325,other
8,07-12-15,validation,wine,R1,3025,3022,32.724485362117235,other
8,07-12-15,validation,wine,R1,3166,3163,29.933914241188116,other
8,07-12-15,validation,wine,R1,3302,3299,29.94402085086784,other
8,07-12-15,validation,wine,R1,3423,3420,34.298536061172086,other
8,07-12-15,validation,wine,R1,3544,3541,35.82778795845511,other
8,07-12-15,validation,wine,R1,3675,3672,23.868801584028496,other
8,07-12-15,validation,wine,R1,3706,3703,23.838051686492307,other
8,07-12-15,validation,wine,R1,3811,3808,27.88965531873619,other
8,07-12-15,validation,wine,R1,3937,3934,38.579007811907864,other
8,07-12-15,validation,wine,R1,4068,4065,40.94933033317585,other
8,07-12-15,validation,wine,R1,4239,4236,33.590499958928746,other
8,07-12-15,validation,wine,R1,4386,4383,34.88421767601623,other
8,07-12-15,validation,wine,R1,4512,4509,31.0472182237801,other
8,07-12-15,validation,wine,R1,4643,4640,38.08536085542377,other
29,08-03-15,train,wine,median_8,531,528,22.578396964267903,other
29,08-03-15,train,wine,median_8,555,552,23.4675368804714,other
29,08-03-15,train,wine,median_8,706,703,25.026242080232507,other
29,08-03-15,train,wine,median_8,847,844,24.852121639827445,other
29,08-03-15,train,wine,median_8,949,946,23.117707735919616,other
29,08-03-15,train,wine,median_8,971,968,26.355337938704285,other
29,08-03-15,train,wine,median_8,1094,1091,24.744170510051017,other
29,08-03-15,train,wine,median_8,1157,1154,22.810287366979907,other
29,08-03-15,train,wine,median_8,1194,1191,24.551361795402208,other
29,08-03-15,train,wine,median_8,1311,1308,23.777517141995958,other
29,08-03-15,train,wine,median_8,1452,1449,28.28905696511233,other
29,08-03-15,train,wine,median_8,1578,1575,29.161432865970184,other
29,08-03-15,train,wine,median_8,1704,1701,26.11397892015867,other
29,08-03-15,train,wine,median_8,1845,1842,24.781837521850168,other
29,08-03-15,train,wine,median_8,1853,1850,25.59199078167088,other
29,08-03-15,train,wine,median_8,1932,1929,22.56704354004323,other
29,08-03-15,train,wine,median_8,2068,2065,28.103842967008298,other
29,08-03-15,train,wine,median_8,2209,2206,27.670377883320008,other
29,08-03-15,train,wine,median_8,2345,2342,23.84476859542235,other
29,08-03-15,train,wine,median_8,2481,2478,24.157901410805373,other
29,08-03-15,train,wine,median_8,2687,2684,22.70210850535198,other
29,08-03-15,train,wine,median_8,2733,2730,24.71524354876354,other
29,08-03-15,train,wine,median_8,2854,2851,24.45849493331546,other
29,08-03-15,train,wine,median_8,2990,2987,24.947818086382327,other
29,08-03-15,train,wine,median_8,3015,3012,24.55760630129011,other
29,08-03-15,train,wine,median_8,3056,3053,22.183054831291244,other
29,08-03-15,train,wine,median_8,3086,3083,22.345539979490518,other
29,08-03-15,train,wine,median_8,3217,3214,22.680538430675348,other
29,08-03-15,train,wine,median_8,3647,3644,22.816116845960394,other
29,08-03-15,train,wine,median_8,3751,3748,24.023096815020395,other
29,08-03-15,train,wine,median_8,3844,3841,25.15170984770274,other
29,08-03-15,train,wine,median_8,3979,3976,23.872105670680334,other
29,08-03-15,train,wine,median_8,4066,4063,22.166678049519263,other
29,08-03-15,train,wine,median_8,4114,4111,24.297171010409482,other
29,08-03-15,train,wine,median_8,4264,4261,22.652445366834495,other
29,08-03-15,train,wine,median_8,4365,4362,25.130380888554026,other
29,08-03-15,train,wine,R1,523,520,23.39393428524715,other
29,08-03-15,train,wine,R1,555,552,27.84980230467998,other
29,08-03-15,train,wine,R1,621,618,23.23695928383867,other
29,08-03-15,train,wine,R1,706,703,29.425788311971377,other
29,08-03-15,train,wine,R1,847,844,27.123416613230894,other
29,08-03-15,train,wine,R1,953,950,25.24846132243504,other
29,08-03-15,train,wine,R1,971,968,30.293666538936588,other
29,08-03-15,train,wine,R1,1094,1091,25.9296181436153,other
29,08-03-15,train,wine,R1,1165,1162,23.59133572537452,other
29,08-03-15,train,wine,R1,1194,1191,25.88825988981955,other
29,08-03-15,train,wine,R1,1311,1308,25.641042182121897,other
29,08-03-15,train,wine,R1,1452,1449,30.533644760267904,other
29,08-03-15,train,wine,R1,1578,1575,30.088523865863042,other
29,08-03-15,train,wine,R1,1704,1701,27.09918942123269,other
29,08-03-15,train,wine,R1,1845,1842,23.290789524047693,other
29,08-03-15,train,wine,R1,1853,1850,25.45532426949662,other
29,08-03-15,train,wine,R1,1932,1929,29.48499440839302,other
29,08-03-15,train,wine,R1,2068,2065,32.844331116617234,other
29,08-03-15,train,wine,R1,2209,2206,39.8808251523557,other
29,08-03-15,train,wine,R1,2345,2342,34.793831613561395,other
29,08-03-15,train,wine,R1,2481,2478,28.93249974590145,other
29,08-03-15,train,wine,R1,2702,2699,23.324908291477122,other
29,08-03-15,train,wine,R1,2733,2730,25.10732717733309,other
29,08-03-15,train,wine,R1,2817,2814,23.528760759059633,other
29,08-03-15,train,wine,R1,2854,2851,24.55139196686545,other
29,08-03-15,train,wine,R1,2990,2987,30.052684824445592,other
29,08-03-15,train,wine,R1,3015,3012,25.76569036817183,other
29,08-03-15,train,wine,R1,3650,3647,23.848731720834714,other
29,08-03-15,train,wine,R1,3751,3748,29.658957115433367,other
29,08-03-15,train,wine,R1,3844,3841,26.231526228515975,other
44,08-22-15,train,wine,R1,751,748,24.219665799505442,other
44,08-22-15,train,wine,R1,870,867,30.77326459118504,other
44,08-22-15,train,wine,R1,1041,1038,46.523806513330456,other
44,08-22-15,train,wine,R1,1247,1244,44.33332430189529,other
44,08-22-15,train,wine,R1,1438,1435,48.55473331237509,other
44,08-22-15,train,wine,R1,1619,1616,47.910777416186164,other
44,08-22-15,train,wine,R1,1820,1817,32.742118170494635,other
46,08-25-15,test,wine,median_8,325,322,22.18164670386701,other
46,08-25-15,test,wine,median_8,463,460,22.27434193285336,other
46,08-25-15,test,wine,median_8,521,518,23.15248013174561,other
46,08-25-15,test,wine,median_8,818,815,22.188280843870185,other
46,08-25-15,test,wine,median_8,952,949,22.30213686064576,other
46,08-25-15,test,wine,median_8,1572,1569,22.211970578612366,other
46,08-25-15,test,wine,median_8,1598,1595,24.31948915005058,other
46,08-25-15,test,wine,median_8,2143,2140,22.259192400311235,other
46,08-25-15,test,wine,median_8,2153,2150,22.686319098142548,other
46,08-25-15,test,wine,R1,1584,1581,24.952789230740997,other
46,08-25-15,test,wine,R1,1598,1595,29.159360878073965,other
46,08-25-15,test,wine,R1,2529,2526,23.321897811998056,other
49,08-26-15,test,wine,R1,121,118,23.6042377802848,stimulus_response
49,08-26-15,test,wine,R1,171,168,23.769885829716294,stimulus_response
54,08-29-15,train,wine,median_8,1091,1088,22.519195953846225,other
54,08-29-15,train,wine,median_8,1991,1988,22.28079479851386,other
54,08-29-15,train,wine,median_8,2020,2017,22.256958979306923,other
54,08-29-15,train,wine,median_8,2155,2152,22.941813686117825,other
54,08-29-15,train,wine,R1,1090,1087,24.012086071615503,other
54,08-29-15,train,wine,R1,1127,1124,28.718325634390705,other
54,08-29-15,train,wine,R1,2158,2155,23.498440930020465,other
54,08-29-15,train,wine,R1,2589,2586,23.426547812937038,other
54,08-29-15,train,wine,R1,2595,2592,23.786658501099666,other
64,09-02-15,test,wine,median_8,2510,2507,22.48286500199471,other
65,09-03-15,train,banana,median_8,-427,-430,22.088155553516984,pre_stimulus
65,09-03-15,train,banana,median_8,-328,-331,22.25947423941416,pre_stimulus
65,09-03-15,train,banana,median_8,-195,-198,22.869277259305708,pre_stimulus
65,09-03-15,train,banana,median_8,1690,1687,22.10678666195833,other
65,09-03-15,train,banana,median_8,1783,1780,22.598985049979383,other
65,09-03-15,train,banana,median_8,1954,1951,22.14026372785886,other
65,09-03-15,train,banana,median_8,2010,2007,22.679590184357586,other
65,09-03-15,train,banana,median_8,2071,2068,22.576602254036597,other
65,09-03-15,train,banana,median_8,2242,2239,22.805476349829767,other
65,09-03-15,train,banana,median_8,2408,2405,22.958958442277627,other
65,09-03-15,train,banana,median_8,2918,2915,22.107199298341456,other
65,09-03-15,train,banana,median_8,2922,2919,22.132747931576944,other
65,09-03-15,train,banana,median_8,3083,3080,22.703079764142274,other
65,09-03-15,train,banana,median_8,3270,3267,22.931031708581543,other
65,09-03-15,train,banana,median_8,3275,3272,22.936941849599272,other
65,09-03-15,train,banana,median_8,3464,3461,22.590079412333793,other
65,09-03-15,train,banana,median_8,3627,3624,22.41130579894773,other
65,09-03-15,train,banana,median_8,3788,3785,22.28489358329592,other
65,09-03-15,train,banana,median_8,3949,3946,22.153870483966646,other
65,09-03-15,train,banana,R1,-428,-431,23.19610277662277,pre_stimulus
65,09-03-15,train,banana,R1,-382,-385,23.194669214966062,pre_stimulus
65,09-03-15,train,banana,R1,-377,-380,23.194669214966062,pre_stimulus
65,09-03-15,train,banana,R1,-328,-331,23.21187195484644,pre_stimulus
65,09-03-15,train,banana,R1,-195,-198,23.99172949609038,pre_stimulus
65,09-03-15,train,banana,R1,1662,1659,23.221190105614983,other
65,09-03-15,train,banana,R1,1783,1780,23.670611684989932,other
65,09-03-15,train,banana,R1,1954,1951,24.245469909326005,other
65,09-03-15,train,banana,R1,2010,2007,24.18454353891631,other
65,09-03-15,train,banana,R1,2071,2068,23.424039080037808,other
65,09-03-15,train,banana,R1,2242,2239,23.560227437424157,other
65,09-03-15,train,banana,R1,2408,2405,23.759492507705243,other
65,09-03-15,train,banana,R1,2847,2844,23.216172639816538,other
65,09-03-15,train,banana,R1,2922,2919,23.51291990275312,other
65,09-03-15,train,banana,R1,3083,3080,24.100680181999458,other
65,09-03-15,train,banana,R1,3270,3267,24.371623335115462,other
65,09-03-15,train,banana,R1,3275,3272,24.380224705055646,other
65,09-03-15,train,banana,R1,3464,3461,23.71863600048933,other
65,09-03-15,train,banana,R1,3627,3624,23.322972983240575,other
67,09-08-15,train,wine,median_8,559,556,22.303719251978876,other
67,09-08-15,train,wine,median_8,614,611,22.41519699225514,other
67,09-08-15,train,wine,median_8,1059,1056,23.00976776726215,other
67,09-08-15,train,wine,median_8,1108,1105,26.851632822482003,other
67,09-08-15,train,wine,median_8,1216,1213,23.275056584804013,other
67,09-08-15,train,wine,median_8,1249,1246,26.06416677582868,other
67,09-08-15,train,wine,median_8,1303,1300,23.139427526410053,other
67,09-08-15,train,wine,median_8,1370,1367,24.714190039328027,other
67,09-08-15,train,wine,median_8,1506,1503,25.025532885499267,other
67,09-08-15,train,wine,median_8,1637,1634,27.680917211371437,other
67,09-08-15,train,wine,median_8,1768,1765,29.29014477820641,other
67,09-08-15,train,wine,median_8,1874,1871,25.04377384667427,other
67,09-08-15,train,wine,median_8,1990,1987,23.955754266315438,other
67,09-08-15,train,wine,median_8,2088,2085,22.287337749865795,other
67,09-08-15,train,wine,median_8,2097,2094,25.318830821179276,other
67,09-08-15,train,wine,median_8,2226,2223,22.119382867851137,other
67,09-08-15,train,wine,median_8,2263,2260,24.050159716330967,other
67,09-08-15,train,wine,median_8,2323,2320,25.916984002979838,other
67,09-08-15,train,wine,median_8,2389,2386,24.1221054230196,other
67,09-08-15,train,wine,median_8,2430,2427,29.416535618108128,other
67,09-08-15,train,wine,median_8,2545,2542,28.3590680592993,other
67,09-08-15,train,wine,median_8,2651,2648,27.028460287978792,other
67,09-08-15,train,wine,median_8,2766,2763,24.631764067726714,other
67,09-08-15,train,wine,median_8,2894,2891,22.76958620874716,other
67,09-08-15,train,wine,median_8,2933,2930,22.774267995753277,other
67,09-08-15,train,wine,R1,175,172,23.27322839375314,stimulus_response
67,09-08-15,train,wine,R1,266,263,23.526467060408915,stimulus_response
67,09-08-15,train,wine,R1,377,374,28.93866406102525,other
67,09-08-15,train,wine,R1,493,490,34.9250025051493,other
67,09-08-15,train,wine,R1,614,611,35.3796565845712,other
67,09-08-15,train,wine,R1,740,737,24.009075592136433,other
67,09-08-15,train,wine,R1,855,852,24.248408710722238,other
67,09-08-15,train,wine,R1,1061,1058,24.176372237473146,other
67,09-08-15,train,wine,R1,1108,1105,31.985771040420552,other
67,09-08-15,train,wine,R1,1249,1246,41.90823972534142,other
67,09-08-15,train,wine,R1,1370,1367,29.655516567457294,other
67,09-08-15,train,wine,R1,1506,1503,35.187272610242275,other
67,09-08-15,train,wine,R1,1692,1689,23.496147231369743,other
67,09-08-15,train,wine,R1,1768,1765,32.455979263817625,other
67,09-08-15,train,wine,R1,1940,1937,23.865074323721082,other
67,09-08-15,train,wine,R1,1990,1987,23.88614768007455,other
67,09-08-15,train,wine,R1,2097,2094,26.651058047348773,other
67,09-08-15,train,wine,R1,2264,2261,25.53904427024781,other
67,09-08-15,train,wine,R1,2323,2320,34.876476443070054,other
67,09-08-15,train,wine,R1,2430,2427,30.70825257005377,other
67,09-08-15,train,wine,R1,2514,2511,28.297431931984057,other
67,09-08-15,train,wine,R1,2545,2542,42.766513089206754,other
67,09-08-15,train,wine,R1,2651,2648,28.67424361344723,other
