day,segment,source_kind,last_300_s_samples,co_reference_ppm,co_min_ppm,co_max_ppm,humidity_pct,temperature_c,heater_high_fraction,heater_high_n,heater_low_n,r1_high_mohm,r1_low_mohm,r8_high_mohm,r8_low_mohm
20160930_203718,47,UCI487_laboratory,976,11.11,11.11,11.11,49.7,26.22,0.2346311475409836,229,747,0.0896,26.2618,0.1032,36.1896
20160930_203718,48,UCI487_laboratory,984,20.0,20.0,20.0,55.28,26.26,0.23272357723577236,229,755,0.0889,6.9912,0.1,19.0632
20160930_203718,49,UCI487_laboratory,978,20.0,20.0,20.0,41.40315,26.22,0.23006134969325154,225,753,0.0888,4.3843,0.0993,17.1537
20160930_203718,50,UCI487_laboratory,975,2.22,2.22,2.22,50.73,26.3,0.23076923076923078,225,750,0.088,6.96025,0.1105,57.5888
20160930_203718,51,UCI487_laboratory,978,20.0,20.0,20.0,43.51,26.3,0.2331288343558282,228,750,0.08865,3.4821,0.09905,17.33395
20160930_203718,52,UCI487_laboratory,975,6.67,6.67,6.67,46.63,26.38,0.23282051282051283,227,748,0.0882,5.558199999999999,0.1047,43.7627
20160930_203718,53,UCI487_laboratory,976,17.78,17.78,17.78,66.68,26.46,0.2305327868852459,225,751,0.0883,2.4795,0.0991,19.7583
20160930_203718,54,UCI487_laboratory,970,17.78,17.78,17.78,44.04,26.42,0.2329896907216495,226,744,0.08835000000000001,1.9661,0.09914999999999999,20.4535
20160930_203718,55,UCI487_laboratory,980,0.0,0.0,0.0,67.64,26.471449999999997,0.2316326530612245,227,753,0.0873,2.6995,0.1135,51.6712
20160930_203718,56,UCI487_laboratory,978,13.33,13.33,13.33,71.48,26.4692,0.23210633946830267,227,751,0.0879,1.3964,0.0998,24.1948
20160930_203718,57,UCI487_laboratory,980,6.67,6.67,6.67,55.82,26.42,0.2336734693877551,229,751,0.0873,1.4701,0.1035,36.3407
20160930_203718,58,UCI487_laboratory,984,20.0,20.0,20.0,50.75,26.46,0.23272357723577236,229,755,0.0878,1.0942,0.0979,17.1181
20160930_203718,59,UCI487_laboratory,975,0.0,0.0,0.0,61.3,26.46,0.23487179487179488,229,746,0.0871,1.67615,0.1125,51.0146
20160930_203718,60,UCI487_laboratory,979,8.89,8.89,8.89,28.58,26.38,0.23289070480081717,228,751,0.0881,1.7466,0.10214999999999999,33.8494
20160930_203718,61,UCI487_laboratory,977,4.44,4.44,4.44,32.91,26.38,0.2323439099283521,227,750,0.0876,3.49115,0.1053,44.2479
20160930_203718,62,UCI487_laboratory,971,13.33,13.33,13.33,59.81,26.46,0.23171987641606592,225,746,0.0883,3.11315,0.1003,27.9494
20160930_203718,63,UCI487_laboratory,971,2.22,2.22,2.22,26.39,26.38,0.23274974253347064,226,745,0.08805,5.1144,0.1087,54.4724
20160930_203718,64,UCI487_laboratory,974,20.0,20.0,20.0,46.13,26.46,0.23203285420944558,226,748,0.0887,4.5207999999999995,0.0981,17.7661
20160930_203718,65,UCI487_laboratory,971,6.67,6.67,6.67,60.32,26.54,0.23377960865087538,227,744,0.0883,4.5027,0.1038,40.4129
20160930_203718,66,UCI487_laboratory,977,15.56,15.56,15.56,62.79,26.58,0.23132036847492324,226,751,0.088,2.14,0.0996,24.3473
20160930_203718,67,UCI487_laboratory,977,4.44,4.44,4.44,28.59,26.5,0.23029682702149437,225,752,0.0879,3.0290999999999997,0.1057,45.7687
20160930_203718,68,UCI487_laboratory,978,0.0,0.0,0.0,52.81,26.58,0.2331288343558282,228,750,0.088,4.7759,0.1135,55.22
20160930_203718,69,UCI487_laboratory,977,8.89,8.89,8.89,45.63,26.62,0.2323439099283521,227,750,0.0882,3.5534,0.1022,34.075599999999994
20160930_203718,70,UCI487_laboratory,984,6.67,6.67,6.67,61.83,26.7,0.23170731707317074,228,756,0.08785000000000001,3.0627,0.10375000000000001,36.8637
20160930_203718,71,UCI487_laboratory,974,6.67,6.67,6.67,49.25,26.73345,0.22895277207392198,223,751,0.0878,2.4232,0.1033,37.922
20160930_203718,72,UCI487_laboratory,973,4.44,4.44,4.44,32.94,26.7365,0.2312435765673176,225,748,0.088,3.41275,0.1057,45.7687
20160930_203718,73,UCI487_laboratory,980,8.89,8.89,8.89,51.82,26.82,0.22959183673469388,225,755,0.0879,3.7079,0.1022,33.7179
20160930_203718,74,UCI487_laboratory,982,0.0,0.0,0.0,69.16,26.86,0.23014256619144602,226,756,0.0872,2.8364000000000003,0.1128,47.3955
20160930_203718,75,UCI487_laboratory,971,4.44,4.44,4.44,39.36,26.78,0.23480947476828012,228,743,0.08795,2.295,0.1055,44.4719
20160930_203718,76,UCI487_laboratory,972,8.89,8.89,8.89,51.31,26.78,0.23045267489711935,224,748,0.0879,2.44455,0.1021,34.1425
20160930_203718,77,UCI487_laboratory,972,11.11,11.11,11.11,34.02,26.78,0.23353909465020575,227,745,0.0882,2.9068,0.101,30.4421
20160930_203718,78,UCI487_laboratory,978,6.67,6.67,6.67,36.17,26.78,0.23006134969325154,225,753,0.0884,5.6246,0.1035,39.4289
20160930_203718,79,UCI487_laboratory,971,4.44,4.44,4.44,30.79,26.78,0.22966014418125644,223,748,0.0886,10.695699999999999,0.1058,48.09445
20160930_203718,80,UCI487_laboratory,974,11.11,11.11,11.11,65.29,26.9,0.23305954825462014,227,747,0.0883,5.2587,0.1008,28.987
20160930_203718,81,UCI487_laboratory,977,6.67,6.67,6.67,50.81,26.9,0.23336745138178097,228,749,0.08795,3.3303,0.1036,38.2881
20160930_203718,82,UCI487_laboratory,973,8.89,8.89,8.89,30.79,26.82,0.2302158273381295,224,749,0.0883,4.1086,0.1025,36.5236
20160930_203718,83,UCI487_laboratory,978,13.33,13.33,13.33,27.52,26.78,0.23210633946830267,227,751,0.0891,8.2864,0.1005,27.3606
20160930_203718,84,UCI487_laboratory,977,13.33,13.33,13.33,39.36,26.78,0.23439099283520984,229,748,0.0892,12.5222,0.1005,27.4483
20160930_203718,85,UCI487_laboratory,974,15.56,15.56,15.56,37.76,26.78,0.23408624229979466,228,746,0.08925,10.47515,0.0998,23.8281
20160930_203718,86,UCI487_laboratory,975,8.89,8.89,8.89,30.78,26.7,0.2317948717948718,226,749,0.0891,17.0279,0.103,38.833
20160930_203718,87,UCI487_laboratory,984,6.67,6.67,6.67,45.64,26.7,0.2306910569105691,227,757,0.0891,15.3964,0.1047,42.823
20160930_203718,88,UCI487_laboratory,983,2.22,2.22,2.22,27.51,26.66,0.23092573753814852,227,756,0.0888,18.7584,0.1109,58.8889
20160930_203718,89,UCI487_laboratory,973,0.0,0.0,0.0,64.79,26.78,0.23227132579650564,226,747,0.08810000000000001,10.6969,0.1158,61.0769
20160930_203718,90,UCI487_laboratory,973,4.44,4.44,4.44,43.55,26.7,0.22816032887975335,222,751,0.0878,4.9269,0.107,49.415
20160930_203718,91,UCI487_laboratory,972,0.0,0.0,0.0,55.85,26.7,0.2294238683127572,223,749,0.0873,4.6216,0.1156,61.0769
20160930_203718,92,UCI487_laboratory,976,20.0,20.0,20.0,34.01,26.62,0.23258196721311475,227,749,0.0883,2.8552,0.0989,17.0756
20160930_203718,93,UCI487_laboratory,970,20.0,20.0,20.0,20.88,26.58,0.23195876288659795,225,745,0.0891,7.1867,0.099,17.5998
20160930_203718,94,UCI487_laboratory,984,20.0,20.0,20.0,22.0,26.58,0.23170731707317074,228,756,0.09029999999999999,22.906100000000002,0.0993,17.45485
20160930_203718,95,UCI487_laboratory,981,17.78,17.78,17.78,22.0,26.58,0.23139653414882771,227,754,0.0914,40.8712,0.1005,20.6754
20160930_203718,96,UCI487_laboratory,978,17.78,17.78,17.78,47.7,26.62,0.2310838445807771,226,752,0.09045,24.07,0.10075,21.8575
20160930_203718,97,UCI487_laboratory,982,13.33,13.33,13.33,65.74,26.66,0.23217922606924643,228,754,0.0888,6.8275,0.1013,27.1697
20160930_203718,98,UCI487_laboratory,971,17.78,17.78,17.78,57.85,26.62,0.23171987641606592,225,746,0.0883,2.5985500000000004,0.0998,22.2086
20160930_203718,99,UCI487_laboratory,971,2.22,2.22,2.22,61.82,26.58,0.22966014418125644,223,748,0.0873,2.70045,0.1101,53.0355
20161001_231809,0,UCI487_laboratory,972,20.0,15.56,20.0,39.32,26.46,0.22016460905349794,214,758,0.0884,1.88545,0.0982,16.9422
20161001_231809,1,UCI487_laboratory,974,15.56,15.56,20.0,38.26,26.46,0.2166324435318275,211,763,0.0888,3.0643,0.0993,23.1766
20161001_231809,2,UCI487_laboratory,972,20.0,4.44,20.0,57.83995,26.5,0.2191358024691358,213,759,0.0886,2.7796,0.0985,19.4545
20161001_231809,3,UCI487_laboratory,977,4.44,4.44,15.56,31.84,26.42,0.21596724667349027,211,766,0.088,4.33845,0.1058,47.0913
20161001_231809,4,UCI487_laboratory,980,15.56,6.67,15.56,51.26,26.46,0.21836734693877552,214,766,0.08885000000000001,3.88875,0.0997,24.1948
20161001_231809,5,UCI487_laboratory,978,6.67,2.22,6.67,30.21,26.38,0.21779141104294478,213,765,0.0886,6.3916,0.1042,42.5736
20161001_231809,6,UCI487_laboratory,977,2.22,2.22,11.11,49.7297,26.46,0.21392016376663256,209,768,0.0882,7.9693000000000005,0.1093,53.7445
20161001_231809,7,UCI487_laboratory,971,11.11,2.22,11.11,60.32,26.5,0.21936148300720906,213,758,0.088,3.7487,0.1018,33.07475
20161001_231809,8,UCI487_laboratory,971,2.22,2.22,13.33,63.27,26.5,0.21730175077239958,211,760,0.0874,2.7254,0.1092,50.0315
20161001_231809,9,UCI487_laboratory,976,13.33,4.44,13.33,52.78,26.42,0.21413934426229508,209,767,0.0879,1.6597,0.1002,26.4311
20161001_231809,10,UCI487_laboratory,974,4.44,4.44,6.67,26.39,26.34,0.21765913757700206,212,762,0.0878,3.0862,0.1061,47.0913
20161001_231809,11,UCI487_laboratory,982,6.67,0.0,6.67,52.78,26.42,0.2158859470468432,212,770,0.08835000000000001,4.1333,0.104,39.0413
20161001_231809,12,UCI487_laboratory,981,0.0,0.0,15.56,51.77,26.42,0.21712538226299694,213,768,0.0879,3.82195,0.114,55.988
20161001_231809,13,UCI487_laboratory,980,15.56,8.89,15.56,47.67,26.42,0.2193877551020408,215,765,0.0883,2.3684,0.0996,22.6311
20161001_231809,14,UCI487_laboratory,970,8.89,8.89,15.56,38.26,26.38,0.2154639175257732,209,761,0.0883,3.4889,0.1022,36.1896
20161001_231809,15,UCI487_laboratory,975,15.56,13.33,15.56,48.69,26.38,0.2164102564102564,211,764,0.0884,3.38475,0.0995,23.8952
20161001_231809,16,UCI487_laboratory,971,13.33,13.33,15.56,32.91,26.34,0.21524201853759012,209,762,0.0886,4.4365,0.1003,28.1511
20161001_231809,17,UCI487_laboratory,974,15.56,8.89,15.56,58.32,26.44605,0.2166324435318275,211,763,0.0883,4.0573,0.0998,25.6375
20161001_231809,18,UCI487_laboratory,971,8.89,8.89,11.11,32.91,26.38,0.21833161688980432,212,759,0.08875,4.7354,0.1026,37.5627
20161001_231809,19,UCI487_laboratory,971,11.11,0.0,11.11,48.7,26.42,0.21421215242018538,208,763,0.0886,5.4224,0.1013,32.7247
20161001_231809,20,UCI487_laboratory,983,0.0,0.0,15.56,52.28,26.42,0.21973550356052898,216,767,0.08805,5.2368,0.1142,57.2171
20161001_231809,21,UCI487_laboratory,972,15.56,15.56,17.78,41.95,26.38,0.21810699588477367,212,760,0.0886,3.2687,0.0996,23.459
20161001_231809,22,UCI487_laboratory,975,17.78,11.11,17.78,48.7,26.42,0.2164102564102564,211,764,0.0886,3.0979,0.099,20.788
20161001_231809,23,UCI487_laboratory,973,11.11,0.0,11.11,67.65,26.5,0.21788283658787255,212,761,0.0884,2.453,0.1008,28.7735
20161001_231809,24,UCI487_laboratory,972,0.0,0.0,11.11,55.31,26.42,0.21604938271604937,210,762,0.08745,2.30975,0.1135,57.2171
20161001_231809,25,UCI487_laboratory,972,11.11,11.11,13.33,58.81675,26.44705,0.21604938271604937,210,762,0.0881,1.6316000000000002,0.1012,30.5716
20161001_231809,26,UCI487_laboratory,973,13.33,13.33,15.56,27.49,26.34,0.21788283658787255,212,761,0.08795,1.9367,0.1002,27.1697
20161001_231809,27,UCI487_laboratory,971,15.56,15.56,17.78,43.51,26.34,0.21627188465499486,210,761,0.0885,2.8585,0.0992,23.6027
20161001_231809,28,UCI487_laboratory,975,17.78,2.22,17.78,67.15,26.38,0.21743589743589745,212,763,0.0887,2.1056,0.0982,19.0632
20161001_231809,29,UCI487_laboratory,973,2.22,2.22,2.22,39.3,26.26,0.21788283658787255,212,761,0.08795,2.8274,0.1085,51.9752
20161001_231809,30,UCI487_laboratory,983,2.22,2.22,8.89,49.71,26.3,0.21770091556459817,214,769,0.0879,3.4103,0.1086,48.5445
20161001_231809,31,UCI487_laboratory,971,8.89,8.89,8.89,35.5787,26.22,0.21730175077239958,211,760,0.0882,3.66465,0.1025,36.8637
20161001_231809,32,UCI487_laboratory,981,8.89,3.0937,8.89,66.65,26.34,0.218144750254842,214,767,0.0882,3.2233,0.102,32.0699
20161001_231809,33,UCI487_laboratory,971,0.0,0.0,9.2278,28.56,26.18,0.21936148300720906,213,758,0.0882,4.09165,0.1143,62.9816
20161001_231809,34,UCI487_laboratory,973,17.78,10.6298,17.78,30.74,26.18,0.21685508735868447,211,762,0.0891,5.2834,0.099,20.87075
20161001_231809,35,UCI487_laboratory,971,4.44,4.44,8.2019,44.02,26.22,0.21833161688980432,212,759,0.08875,10.7882,0.1058,48.5445
20161001_231809,36,UCI487_laboratory,976,11.11,11.11,11.11,50.73,26.26,0.21721311475409835,212,764,0.0887,6.05825,0.1016,32.52815
20161001_231809,37,UCI487_laboratory,983,11.11,11.11,14.9853,23.63,26.18,0.21871820956256358,215,768,0.0895,8.60125,0.1018,32.394149999999996
20161001_231809,38,UCI487_laboratory,976,17.78,9.069,17.78,64.22,26.3,0.2151639344262295,210,766,0.089,5.228249999999999,0.0989,20.0712
20161001_231809,39,UCI487_laboratory,971,4.44,4.44,10.4941,55.29,26.2599,0.21627188465499486,210,761,0.088,3.8128,0.1062,47.6519
20161001_231809,40,UCI487_laboratory,980,13.33,13.33,15.9555,60.2795,26.26,0.2173469387755102,213,767,0.0883,2.234,0.1008,27.9494
20161001_231809,41,UCI487_laboratory,982,17.78,13.9047,17.78,27.47035,26.22,0.21690427698574338,213,769,0.0884,2.2653,0.0991,20.4535
20161001_231809,42,UCI487_laboratory,971,11.11,5.3671,11.11,20.86,26.22,0.21833161688980432,212,759,0.0891,8.5901,0.1016,34.0087
20161001_231809,43,UCI487_laboratory,977,2.22,2.22,9.9526,17.51,26.22,0.21494370522006143,210,767,0.0905,37.8193,0.1102,60.6597
20161001_231809,44,UCI487_laboratory,973,13.33,13.33,13.33,31.82,26.26,0.21788283658787255,212,761,0.09095,40.2975,0.1014,29.5241
20161001_231809,45,UCI487_laboratory,976,2.22,2.22,2.22,41.41,26.3,0.21618852459016394,211,765,0.0895,32.382,0.1112,62.0148
20161001_231809,46,UCI487_laboratory,977,15.56,15.56,15.56,19.19,26.26,0.21903787103377687,214,763,0.0907,29.3699,0.1015,24.9763
20161001_231809,47,UCI487_laboratory,975,11.11,11.11,11.11,50.4507,26.38,0.21846153846153846,213,762,0.09,23.8667,0.1036,36.6774
20161001_231809,48,UCI487_laboratory,971,20.0,20.0,20.0,55.81,26.42,0.21524201853759012,209,762,0.0886,5.7474,0.1001,19.7117
20161001_231809,49,UCI487_laboratory,972,20.0,20.0,20.0,41.95,26.38,0.21707818930041153,211,761,0.0888,3.8258,0.0993,17.3558
20161001_231809,50,UCI487_laboratory,978,2.22,2.22,2.22,51.26,26.42,0.21574642126789367,211,767,0.088,5.939,0.1106,56.7773
20161001_231809,51,UCI487_laboratory,970,20.0,20.0,20.0,44.2458,26.46,0.2175257731958763,211,759,0.0887,3.0014,0.0991,17.7204
20161001_231809,52,UCI487_laboratory,974,6.67,6.67,6.67,46.64,26.46,0.21560574948665298,210,764,0.08825,4.68375,0.1047,43.982
20161001_231809,53,UCI487_laboratory,983,17.78,17.78,17.78,67.66,26.54,0.21871820956256358,215,768,0.0882,2.128,0.099,19.531950000000002
20161001_231809,54,UCI487_laboratory,980,17.78,17.78,17.78,44.57,26.48735,0.2173469387755102,213,767,0.0882,1.7226,0.0991,20.1292
20161001_231809,55,UCI487_laboratory,973,0.0,0.0,0.0,68.62,26.54,0.2158273381294964,210,763,0.08754999999999999,2.276,0.1134,53.0355
20161001_231809,56,UCI487_laboratory,973,13.33,13.33,13.33,72.45,26.54,0.2158273381294964,210,763,0.088,1.2526,0.0998,24.3473
20161001_231809,57,UCI487_laboratory,982,6.67,6.67,6.67,56.83,26.48885,0.2189409368635438,215,767,0.0875,1.3034,0.1035,35.8615
20161001_231809,58,UCI487_laboratory,978,20.0,20.0,20.0,51.26,26.46,0.21574642126789367,211,767,0.0876,0.9831,0.0979,17.1537
20161001_231809,59,UCI487_laboratory,972,0.0,0.0,0.0,60.81,26.5,0.21810699588477367,212,760,0.0876,1.4836,0.1121,52.3446
20161001_231809,60,UCI487_laboratory,971,8.89,8.89,8.89,28.59,26.42,0.21524201853759012,209,762,0.0879,1.4908000000000001,0.102,35.052
20161001_231809,61,UCI487_laboratory,983,4.44,4.44,4.44,32.92,26.46,0.21770091556459817,214,769,0.0881,3.0806,0.1053,43.0331
20161001_231809,62,UCI487_laboratory,984,13.33,13.33,13.33,59.33,26.54,0.21544715447154472,212,772,0.0885,2.7323,0.1002,26.7955
20161001_231809,63,UCI487_laboratory,979,2.22,2.22,2.22,26.4,26.46,0.21756894790602654,213,766,0.088,4.6341,0.1086,51.4911
20161001_231809,64,UCI487_laboratory,971,20.0,20.0,20.0,46.13,26.54,0.21730175077239958,211,760,0.0891,4.06425,0.0981,17.997799999999998
20161001_231809,65,UCI487_laboratory,980,6.67,6.67,6.67,60.33,26.58,0.2163265306122449,212,768,0.0878,4.222250000000001,0.1037,38.833
20161001_231809,66,UCI487_laboratory,971,15.56,15.56,15.56,62.8,26.62,0.21833161688980432,212,759,0.08815,2.0018,0.0996,24.6579
20161001_231809,67,UCI487_laboratory,976,4.44,4.44,4.44,28.05,26.54,0.2151639344262295,210,766,0.08754999999999999,2.86165,0.1057,46.0081
20161001_231809,68,UCI487_laboratory,981,0.0,0.0,0.0,52.81,26.58,0.21712538226299694,213,768,0.0879,4.4363,0.1134,55.6363
20161001_231809,69,UCI487_laboratory,976,8.89,8.89,8.89,45.62,26.54,0.21721311475409835,212,764,0.08865,3.3781499999999998,0.1021,34.1425
20161001_231809,70,UCI487_laboratory,973,6.67,6.67,6.67,61.81,26.58,0.2199383350462487,214,759,0.088,2.8469,0.1038,38.6611
20161001_231809,71,UCI487_laboratory,972,6.67,6.67,6.67,49.23,26.54,0.21502057613168724,209,763,0.0879,2.2963,0.1035,38.6611
20161001_231809,72,UCI487_laboratory,978,4.44,4.44,4.44,32.92,26.5,0.2167689161554192,212,766,0.0881,3.2811500000000002,0.1057,44.9727
20161001_231809,73,UCI487_laboratory,982,8.89,8.89,8.89,52.23485,26.54,0.21792260692464357,214,768,0.0881,3.74615,0.1023,34.4405
20161001_231809,74,UCI487_laboratory,976,0.0,0.0,0.0,69.12,26.62,0.21618852459016394,211,765,0.0874,2.794,0.1129,50.6634
20161001_231809,75,UCI487_laboratory,983,4.44,4.44,4.44,39.33,26.5,0.21668362156663276,213,770,0.0878,2.2334,0.1056,41.9221
20161001_231809,76,UCI487_laboratory,977,8.89,8.89,8.89,51.27,26.5,0.21596724667349027,211,766,0.0882,2.4061000000000003,0.1021,34.0087
20161001_231809,77,UCI487_laboratory,982,11.11,11.11,11.11,34.0,26.46,0.2189409368635438,215,767,0.0886,2.8783,0.1011,29.9763
20161001_231809,78,UCI487_laboratory,979,6.67,6.67,6.67,36.14,26.46,0.21654749744637386,212,767,0.08865,5.9817,0.1037,39.8241
20161001_231809,79,UCI487_laboratory,979,4.44,4.44,4.44,30.76,26.46,0.21859039836567926,214,765,0.0889,11.3338,0.1061,47.3955
20161001_231809,80,UCI487_laboratory,979,11.11,11.11,11.11,65.72,26.54,0.21552604698672115,211,768,0.0886,5.32425,0.101,29.2035
20161001_231809,81,UCI487_laboratory,937,6.67,6.67,6.67,50.76,26.5,0.21451440768409819,201,736,0.0883,3.2363,0.1038,38.833
20161001_231809,82,UCI487_laboratory,974,8.89,8.89,8.89,30.76,26.46,0.21765913757700206,212,762,0.08875,4.196400000000001,0.1027,37.21
